Product ID,Description,"Potential Build
,,,1,S1037-1/2,"FONDA Fabric Sectional Sofa(Fabric Grey,Left) - Box 1",4,
,,,1,S1037-2/2,"FONDA Fabric Sectional Sofa(Fabric Grey,Left) - Box 2",3,
S1038,FONDA - Grey Fabric Sectional Sofa - Right,8
,,,1,S1038-1/2,"FONDA Fabric Sectional Sofa(Fabric Grey,Right) - Box 1",8,
,,,1,S1038-2/2,"FONDA Fabric Sectional Sofa(Fabric Grey,Right) - Box 2",9,
S1052,BRYCE - Grey Interchangeable Sectional Sofa,18
,,,1,S1052-1/2,Bryce Fabric Sectional Sofa(Grey) - Box 1,21,
,,,1,S1052-2/2,Bryce Fabric Sectional Sofa(Grey) - Box 2,18,
S1066,MASON Modular Set (Grey - 5 piece),8
,,,3,S1057,MASON - Grey Fabric Armless Chair Module,25,
,,,2,S1058,MASON - Grey Fabric Corner Module,32,
S1067,MASON Modular Set (Grey - 4 piece),12
,,,2,S1057,MASON - Grey Fabric Armless Chair Module,25,
,,,2,S1058,MASON - Grey Fabric Corner Module,32,
S1068,MASON - Cream Modular Set (5 piece),3
,,,3,S1060,MASON - Cream Fabric Armless Chair Module,11,
,,,2,S1061,MASON - Cream Fabric Corner Module,9,
S1069,MASON - Cream Modular Set (4 piece),4
,,,2,S1060,MASON - Cream Fabric Armless Chair Module,11,
,,,2,S1061,MASON - Cream Fabric Corner Module,9,
S1070,MASON Modular Set (White - 3 piece),4
,,,1,S1060,MASON - Cream Fabric Armless Chair Module,11,Mason Armless Chair (White)
,,,2,S1061,MASON - Cream Fabric Corner Module,9,MASON Corner Module(White)
S1071,MASON Modular Set (Grey - 3 piece),16
,,,1,S1057,MASON - Grey Fabric Armless Chair Module,25,MASON Armless Chair Module(Grey)
,,,2,S1058,MASON - Grey Fabric Corner Module,32,MASON Corner Module(Grey)
S1079,MASON Fabric Modular Set (Velvet Blue - 5 piece),
,,,2,S1076,MASON Fabric Corner Chair Module(Velvet Blue),0,MASON Fabric Corner Chair Module(Velvet Blue)
,,,3,S1077,MASON Fabric Armless Chair Module(Velvet Blue),0,MASON Fabric Armless Chair Module(Velvet Blue)
S1080,MASON Fabric Modular Set (Velvet Blue - 4 piece),
,,,2,S1076,MASON Fabric Corner Chair Module(Velvet Blue),0,MASON Fabric Corner Chair Module(Velvet Blue)
,,,2,S1077,MASON Fabric Armless Chair Module(Velvet Blue),0,MASON Fabric Armless Chair Module(Velvet Blue)
S1081,MASON Fabric Modular Set (Velvet Blue - 3 piece),
,,,2,S1076,MASON Fabric Corner Chair Module(Velvet Blue),0,MASON Fabric Corner Chair Module(Velvet Blue)
,,,1,S1077,MASON Fabric Armless Chair Module(Velvet Blue),0,MASON Fabric Armless Chair Module(Velvet Blue)
S1085,MASON Fabric Modular Set (Dark Grey - 5 piece),3
,,,2,S1082,MASON Fabric Corner Chair Module(Dark Grey),11,MASON Fabric Corner Chair Module(Dark Grey)
,,,3,S1083,MASON Fabric Armless Chair Module(Dark Grey),11,MASON Fabric Armless Chair Module(Dark Grey)
S1086,MASON Fabric Modular Set (Dark Grey - 4 piece),5
,,,2,S1082,MASON Fabric Corner Chair Module(Dark Grey),11,MASON Fabric Corner Chair Module(Dark Grey)
,,,2,S1083,MASON Fabric Armless Chair Module(Dark Grey),11,MASON Fabric Armless Chair Module(Dark Grey)
S1087,MASON Fabric Modular Set (Dark Grey - 3 piece),5
,,,2,S1082,MASON Fabric Corner Chair Module(Dark Grey),11,MASON Fabric Corner Chair Module(Dark Grey)
,,,1,S1083,MASON Fabric Armless Chair Module(Dark Grey),11,MASON Fabric Armless Chair Module(Dark Grey)
S1120,"FONDA Fabric Sectional Sofa(Velvet Blue,Left)",
,,,1,S1120-1/2,"FONDA Fabric Sectional Sofa(Velvet Blue,Left) - TWO SEATER",0,
,,,1,S1120-2/2,"FONDA Fabric Sectional Sofa(Velvet Blue,Left)- CHAISE LOUNGE",0,
S1121,"FONDA Fabric Sectional Sofa(Velvet Blue,Right)",
,,,1,S1121-1/2,"FONDA Fabric Sectional Sofa(Velvet Blue,Right) - TWO SEATER",0,
,,,1,S1121-2/2,"FONDA Fabric Sectional Sofa(Velvet Blue,Right)- CHAISE LOUNGE",0,
T0003,Acacia Live Edge Wood Table with Chrome X Legs/Natural Color - 180cm,43
,,,1,X2001,"Acacia Live Edge Dining Table Top(180cm,Natural)",78,
,,,2,Y2002,X Dining Table Leg Chrome,43.5,
T0034,Acacia Live Edge Wood Bench with Black X-shaped Legs/Natural Color - 145cm,117
,,,1,X1100,"Acacia Live Edge Bench Top(145cm,Natural)",117,
,,,2,Y1011,X Bench Leg Black,150,
T0036,Acacia Natural Wood Live Edge Table with Black U-Shaped Legs/Natural Color - 180cm,78
,,,1,X2001,"Acacia Live Edge Dining Table Top(180cm,Natural)",78,
,,,2,Y2001,U Dining Table Leg Black,182.5,
T0044,Straight Cut Acacia Wood Table with Chrome X-Shaped Legs/Natural Colour - 240cm,20
,,,1,X2004,"Acacia Straight Table Top(240cm,Natural)",20,
,,,2,Y2002,X Dining Table Leg Chrome,43.5,
T0056,Acacia Live Edge Bench with Black U Shaped Legs/Natural Color - 145cm,35
,,,1,X1100,"Acacia Live Edge Bench Top(145cm,Natural)",117,
,,,2,Y1013,U Bench Leg Black,35,
T0057,Acacia Live Edge Bench with Black U Shaped Legs/Natural Color - 205cm,21
,,,1,X1138,"Acacia Live Edge Bench Top(205cm,Natural)",21,
,,,2,Y1013,U Bench Leg Black,35,
T0067,Acacia Live Edge Wood Table with Chrome X Legs/Natural Color - 240cm,43
,,,1,X2002,"Acacia Live Edge Table Top(240cm,Natural)",73,
,,,2,Y2002,X Dining Table Leg Chrome,43.5,
T0633,Straight Cut Acacia Wood Table with Black U-Shaped Legs/Natural Colour - 180cm (6ft),15
,,,1,X2003,"Acacia Straight Table Top(180cm,Natural)",15,
,,,2,Y2001,U Dining Table Leg Black,182.5,
T0634,Straight Cut Acacia Wood Table with Chrome X-Shaped Legs/Natural Colour - 180cm,15
,,,1,X2003,"Acacia Straight Table Top(180cm,Natural)",15,
,,,2,Y2002,X Dining Table Leg Chrome,43.5,
T0635,Straight Cut Acacia Dining Table With Black X-Shaped Legs/Natural Color - 180cm (6 ft),15
,,,1,X2003,"Acacia Straight Table Top(180cm,Natural)",15,
,,,2,Y2003,X Dining Table Leg Black,274.5,
T0636,Acacia Live Edge Dining Table with Black X Shaped Legs/Natural Color - 180cm,78
,,,1,X2001,"Acacia Live Edge Dining Table Top(180cm,Natural)",78,
,,,2,Y2003,X Dining Table Leg Black,274.5,
T0637,Straight Cut Acacia Wood Table with Black U-Shaped Legs/Natural Colour - 240cm (8ft),20
,,,1,X2004,"Acacia Straight Table Top(240cm,Natural)",20,
,,,2,Y2001,U Dining Table Leg Black,182.5,
T0638,Straight Cut Acacia Dining Table With Black X-Shaped Legs/Natural Color - 240cm (8 ft),20
,,,1,X2004,"Acacia Straight Table Top(240cm,Natural)",20,
,,,2,Y2003,X Dining Table Leg Black,274.5,
T0639,TEST - Acacia Live Edge Dining Table with Black X Shaped Legs/Natural Color - 240cm,73
,,,1,X2002,"Acacia Live Edge Table Top(240cm,Natural)",73,
,,,2,Y2003,X Dining Table Leg Black,274.5,
T0800,Acacia Live Edge Wood Bench with Chrome X-shaped Legs/Natural Finish - 145cm,11
,,,1,X1100,"Acacia Live Edge Bench Top(145cm,Natural)",117,
,,,2,Y1012,X Bench Leg Chrome,11.5,
T0801,Acacia Live Edge Wood Bench with Chrome X-shaped Legs/Natural Finish - 205cm,11
,,,1,X1138,"Acacia Live Edge Bench Top(205cm,Natural)",21,
,,,2,Y1012,X Bench Leg Chrome,11.5,
T0803,Acacia Live Edge Wood Table with Chrome X Legs/Natural Color - 210cm,43
,,,1,X2010,"Acacia Live Edge Table Top(210cm,Natural)",96,
,,,2,Y2002,X Dining Table Leg Chrome,43.5,
T1003,Acacia Natural Wood Live Edge Table with Black U-Shaped Legs/Natural Color - 240cm,73
,,,1,X2002,"Acacia Live Edge Table Top(240cm,Natural)",73,
,,,2,Y2001,U Dining Table Leg Black,182.5,
T1008,Acacia Live Edge Wood Bench with Chrome U-shaped Legs/Natural Finish - 145cm,27
,,,1,X1100,"Acacia Live Edge Bench Top(145cm,Natural)",117,
,,,2,Y1016,U Bench Leg Chrome,27,
T1523,TULIP - Marble Dining Table (74 cm + 90 cm) - 90cm,6
,,,1,T1523-1/2,"Tulip Marble Dining Table(90cm,Round) - Table Top",6,
,,,1,T1523-2/2,"Tulip Marble Dining Table(90cm,Round) - Table Base",6,
T2100,Acacia Live Edge Wood Bench with Black X-shaped Legs/Natural Color - 205cm,21
,,,1,X1138,"Acacia Live Edge Bench Top(205cm,Natural)",21,
,,,2,Y1011,X Bench Leg Black,150,
T4011,Acacia Live Edge Dining Table with Black X Shaped Legs/Natural Color - 210cm,96
,,,1,X2010,"Acacia Live Edge Table Top(210cm,Natural)",96,
,,,2,Y2003,X Dining Table Leg Black,274.5,
T4032,Acacia Natural Wood Live Edge Table with Black U-Shaped Legs/Natural Color - 210cm,96
,,,1,X2010,"Acacia Live Edge Table Top(210cm,Natural)",96,
,,,2,Y2001,U Dining Table Leg Black,182.5,
T4057,Straight Cut Acacia Wood Table with Chrome U Legs/Natural Colour - 180cm (6 ft),15
,,,1,X2003,"Acacia Straight Table Top(180cm,Natural)",15,
,,,2,Y2019,U Dining Table Leg Chrome,33,
T4058,Straight Cut Acacia Wood Table with Chrome U Legs/Natural Colour - 240cm (8 ft),20
,,,1,X2004,"Acacia Straight Table Top(240cm,Natural)",20,
,,,2,Y2019,U Dining Table Leg Chrome,33,
T4059,Acacia Live Edge Wood Table with Chrome U Legs/Natural Color - 180cm,33
,,,1,X2001,"Acacia Live Edge Dining Table Top(180cm,Natural)",78,
,,,2,Y2019,U Dining Table Leg Chrome,33,
T4060,Acacia Live Edge Wood Table with Chrome U Legs/Natural Color - 210cm,33
,,,1,X2010,"Acacia Live Edge Table Top(210cm,Natural)",96,
,,,2,Y2019,U Dining Table Leg Chrome,33,
T4061,Acacia Live Edge Wood Table with Chrome U Legs/Natural Color - 240cm,33
,,,1,X2002,"Acacia Live Edge Table Top(240cm,Natural)",73,
,,,2,Y2019,U Dining Table Leg Chrome,33,
T4062,Acacia Live Edge Wood Table with Chrome U Legs/Natural Color - 270cm,26
,,,1,X2015,"Acacia Live Edge Table Top(270cm,Natural)",26,
,,,2,Y2019,U Dining Table Leg Chrome,33,
T4064,Acacia Natural Wood Live Edge Table with Black U-Shaped Legs/Natural Color - 270cm,26
,,,1,X2015,"Acacia Live Edge Table Top(270cm,Natural)",26,
,,,2,Y2001,U Dining Table Leg Black,182.5,
T4065,Acacia Live Edge Dining Table with Black X Shaped Legs/Natural Color - 270cm,26
,,,1,X2015,"Acacia Live Edge Table Top(270cm,Natural)",26,
,,,2,Y2003,X Dining Table Leg Black,274.5,
T4066,Acacia Live Edge Wood Table with Chrome X Legs/Natural Color - 270cm,26
,,,1,X2015,"Acacia Live Edge Table Top(270cm,Natural)",26,
,,,2,Y2002,X Dining Table Leg Chrome,43.5,
T4077,Acacia Live Edge Wood Bench with Chrome U-Shaped Legs/Honey Walnut - 145cm,11
,,,1,X2040,"Acacia Live Edge Bench Top(145cm,Honey)",11,
,,,2,Y1016,U Bench Leg Chrome,27,
T4078,Acacia Live Edge Wood Bench with Chrome U-Shaped Legs/Honey Walnut - 205cm,8
,,,1,X2039,"Acacia Live Edge Bench Top(205cm,Honey)",8,
,,,2,Y1016,U Bench Leg Chrome,27,
T5001,Live Edge Suar Table with Black U Shaped Legs/Natural Finish - 180cm,32
,,,1,X2016,"Live Edge Suar Table Top(180cm,Natural)",32,
,,,2,Y2001,U Dining Table Leg Black,182.5,
T5004,Live Edge Suar Table with Chrome U Shaped Legs/Natural Finish - 180cm,32
,,,1,X2016,"Live Edge Suar Table Top(180cm,Natural)",32,
,,,2,Y2019,U Dining Table Leg Chrome,33,
T5007,Live Edge Suar Table with Black X Shaped Legs/Natural Finish - 180cm,32
,,,1,X2016,"Live Edge Suar Table Top(180cm,Natural)",32,
,,,2,Y2003,X Dining Table Leg Black,274.5,
T5010,Live Edge Suar Table with Chrome X Shaped Legs/Natural Finish - 180cm,32
,,,1,X2016,"Live Edge Suar Table Top(180cm,Natural)",32,
,,,2,Y2002,X Dining Table Leg Chrome,43.5,
T5028,Straight Cut Acacia Wood Table with Black U-Shaped Legs/Natural Colour - 210cm (7ft),29
,,,1,X2030,"Acacia Straight Table Top(210cm,Natural)",29,
,,,2,Y2001,U Dining Table Leg Black,182.5,
T5029,Straight Cut Acacia Dining Table With Black X-Shaped Legs/Natural Color - 210cm (7 ft),29
,,,1,X2030,"Acacia Straight Table Top(210cm,Natural)",29,
,,,2,Y2003,X Dining Table Leg Black,274.5,
T5030,Straight Cut Acacia Wood Table with Chrome X-Shaped Legs/Natural Colour - 210cm,29
,,,1,X2030,"Acacia Straight Table Top(210cm,Natural)",29,
,,,2,Y2002,X Dining Table Leg Chrome,43.5,
T5053,Acacia Live Edge Wood Bench with Chrome U-shaped Legs/Natural Finish - 205cm,21
,,,1,X1138,"Acacia Live Edge Bench Top(205cm,Natural)",21,
,,,2,Y1016,U Bench Leg Chrome,27,
T5055,Live Edge Acacia Bench with Black X Legs/Honey Walnut - 205cm,8
,,,1,X2039,"Acacia Live Edge Bench Top(205cm,Honey)",8,
,,,2,Y1011,X Bench Leg Black,150,
T5056,Live Edge Acacia Bench with Black X Legs/Honey Walnut - 145cm,11
,,,1,X2040,"Acacia Live Edge Bench Top(145cm,Honey)",11,
,,,2,Y1011,X Bench Leg Black,150,
T5057,Straight Cut Acacia Dining Table with Black U legs/Honey Walnut - 180cm,26
,,,1,X2033,"Acacia Straight Table Top(180cm,Honey)",26,
,,,2,Y2001,U Dining Table Leg Black,182.5,
T5058,Straight Cut Acacia Dining Table with Black U legs/Honey Walnut - 210cm,25
,,,1,X2035,"Acacia Straight Table Top(210cm,Honey)",25,
,,,2,Y2001,U Dining Table Leg Black,182.5,
T5059,Straight Cut Acacia Dining Table with Black U legs/Honey Walnut - 240cm,20
,,,1,X2037,"Acacia Straight Table Top(240cm,Honey)",20,
,,,2,Y2001,U Dining Table Leg Black,182.5,
T5060,Straight Cut Acacia Dining Table with Chrome U legs/Honey Walnut - 180cm,26
,,,1,X2033,"Acacia Straight Table Top(180cm,Honey)",26,
,,,2,Y2019,U Dining Table Leg Chrome,33,
T5061,Straight Cut Acacia Dining Table with Chrome U legs/Honey Walnut - 210cm,25
,,,1,X2035,"Acacia Straight Table Top(210cm,Honey)",25,
,,,2,Y2019,U Dining Table Leg Chrome,33,
T5062,Straight Cut Acacia Dining Table with Chrome U legs/Honey Walnut - 240cm,20
,,,1,X2037,"Acacia Straight Table Top(240cm,Honey)",20,
,,,2,Y2019,U Dining Table Leg Chrome,33,
T5063,Straight Cut Acacia Dining Table with Chrome X Legs/Honey Walnut - 180cm,26
,,,1,X2033,"Acacia Straight Table Top(180cm,Honey)",26,
,,,2,Y2002,X Dining Table Leg Chrome,43.5,
T5064,Straight Cut Acacia Dining Table with Chrome X Legs/Honey Walnut - 210cm,25
,,,1,X2035,"Acacia Straight Table Top(210cm,Honey)",25,
,,,2,Y2002,X Dining Table Leg Chrome,43.5,
T5065,Straight Cut Acacia Dining Table with Chrome X Legs/Honey Walnut - 240cm,20
,,,1,X2037,"Acacia Straight Table Top(240cm,Honey)",20,
,,,2,Y2002,X Dining Table Leg Chrome,43.5,
T5066,Straight Cut Acacia Dining Table With Black X Legs/Honey Walnut - 180cm,26
,,,1,X2033,"Acacia Straight Table Top(180cm,Honey)",26,
,,,2,Y2003,X Dining Table Leg Black,274.5,
T5067,Straight Cut Acacia Dining Table With Black X Legs/Honey Walnut - 210cm,25
,,,1,X2035,"Acacia Straight Table Top(210cm,Honey)",25,
,,,2,Y2003,X Dining Table Leg Black,274.5,
T5068,Straight Cut Acacia Dining Table With Black X Legs/Honey Walnut - 240cm,20
,,,1,X2037,"Acacia Straight Table Top(240cm,Honey)",20,
,,,2,Y2003,X Dining Table Leg Black,274.5,
T5078,Live Edge Acacia Dining Table With Black U Legs/Honey Walnut - 180cm,62
,,,1,X2034,"Acacia Live Edge Table top(180cm,Honey)",62,
,,,2,Y2001,U Dining Table Leg Black,182.5,
T5079,Live Edge Acacia Dining Table With Black U Legs/Honey Walnut - 210cm,32
,,,1,X2036,"Acacia Live Edge Table top(210cm,Honey)",32,
,,,2,Y2001,U Dining Table Leg Black,182.5,
T5080,Live Edge Acacia Dining Table With Black U Legs/Honey Walnut - 240cm,24
,,,1,X2038,"Acacia Live Edge Table Top(240cm,Honey)",24,
,,,2,Y2001,U Dining Table Leg Black,182.5,
T5081,Live Edge Acacia Dining Table with Chrome U legs/Honey Walnut - 180cm,33
,,,1,X2034,"Acacia Live Edge Table top(180cm,Honey)",62,
,,,2,Y2019,U Dining Table Leg Chrome,33,
T5082,Live Edge Acacia Dining Table with Chrome U legs/Honey Walnut - 210cm,32
,,,1,X2036,"Acacia Live Edge Table top(210cm,Honey)",32,
,,,2,Y2019,U Dining Table Leg Chrome,33,
T5083,Live Edge Acacia Dining Table with Chrome U legs/Honey Walnut - 240cm,24
,,,1,X2038,"Acacia Live Edge Table Top(240cm,Honey)",24,
,,,2,Y2019,U Dining Table Leg Chrome,33,
T5084,Live Edge Acacia Dining Table With Chrome X Legs/Honey Walnut - 180cm,43
,,,1,X2034,"Acacia Live Edge Table top(180cm,Honey)",62,
,,,2,Y2002,X Dining Table Leg Chrome,43.5,
T5085,Live Edge Acacia Dining Table With Chrome X Legs/Honey Walnut - 210cm,32
,,,1,X2036,"Acacia Live Edge Table top(210cm,Honey)",32,
,,,2,Y2002,X Dining Table Leg Chrome,43.5,
T5086,Live Edge Acacia Dining Table With Chrome X Legs/Honey Walnut - 240cm,24
,,,1,X2038,"Acacia Live Edge Table Top(240cm,Honey)",24,
,,,2,Y2002,X Dining Table Leg Chrome,43.5,
T5087,Live Edge Acacia Dining Table with Black X Legs/Honey Walnut - 180cm,62
,,,1,X2034,"Acacia Live Edge Table top(180cm,Honey)",62,
,,,2,Y2003,X Dining Table Leg Black,274.5,
T5088,Live Edge Acacia Dining Table with Black X Legs/Honey Walnut - 210cm,32
,,,1,X2036,"Acacia Live Edge Table top(210cm,Honey)",32,
,,,2,Y2003,X Dining Table Leg Black,274.5,
T5089,Live Edge Acacia Dining Table with Black X Legs/Honey Walnut - 240cm,24
,,,1,X2038,"Acacia Live Edge Table Top(240cm,Honey)",24,
,,,2,Y2003,X Dining Table Leg Black,274.5,
T5099,Acacia Live Edge Wood Bench with Black U-shaped Legs/Honey Walnut - 145cm,11
,,,1,X2040,"Acacia Live Edge Bench Top(145cm,Honey)",11,
,,,2,Y1013,U Bench Leg Black,35,
T5100,Acacia Live Edge Wood Bench with Black U-shaped Legs/Honey Walnut - 205cm,8
,,,1,X2039,"Acacia Live Edge Bench Top(205cm,Honey)",8,
,,,2,Y1013,U Bench Leg Black,35,
T5105,Straight Cut Acacia Wood Table with Black U-Shaped Legs/Natural Colour - 270cm (9ft),8
,,,1,X2046,"Acacia Straight Table Top(270cm,Natural)",8,
,,,2,Y2001,U Dining Table Leg Black,182.5,
T5106,Straight Cut Acacia Dining Table With Black X-Shaped Legs/Natural Color - 270cm (9 ft),8
,,,1,X2046,"Acacia Straight Table Top(270cm,Natural)",8,
,,,2,Y2003,X Dining Table Leg Black,274.5,
T5107,Straight Cut Acacia Wood Table with Chrome U Legs/Natural Colour - 270cm (9 ft),8
,,,1,X2046,"Acacia Straight Table Top(270cm,Natural)",8,
,,,2,Y2019,U Dining Table Leg Chrome,33,
T5108,Straight Cut Acacia Wood Table with Chrome U Legs/Natural Colour - 210cm (7 ft),29
,,,1,X2030,"Acacia Straight Table Top(210cm,Natural)",29,
,,,2,Y2019,U Dining Table Leg Chrome,33,
T5109,Straight Cut Acacia Wood Table with Chrome X-Shaped Legs/Natural Colour - 270cm,8
,,,1,X2046,"Acacia Straight Table Top(270cm,Natural)",8,
,,,2,Y2002,X Dining Table Leg Chrome,43.5,
T5110,Acacia Live Edge Wood Bench with Chrome X-shaped legs/Honey Walnut - 145cm,11
,,,1,X2040,"Acacia Live Edge Bench Top(145cm,Honey)",11,
,,,2,Y1012,X Bench Leg Chrome,11.5,
T5111,Acacia Live Edge Wood Bench with Chrome X-shaped legs/Honey Walnut - 205cm,8
,,,1,X2039,"Acacia Live Edge Bench Top(205cm,Honey)",8,
,,,2,Y1012,X Bench Leg Chrome,11.5,
T5134,Acacia Natural Wood Live Edge Table with Black U-Shaped Legs/Natural Color - 150cm,67
,,,1,X2022,"Acacia Live Edge Table Top(150cm,Natural)",67,
,,,2,Y2001,U Dining Table Leg Black,182.5,
T5135,Acacia Live Edge Wood Table with Chrome U Legs/Natural Color - 150cm,33
,,,1,X2022,"Acacia Live Edge Table Top(150cm,Natural)",67,
,,,2,Y2019,U Dining Table Leg Chrome,33,
T5136,Acacia Live Edge Dining Table with Black X Shaped Legs/Natural Color - 150cm,67
,,,1,X2022,"Acacia Live Edge Table Top(150cm,Natural)",67,
,,,2,Y2003,X Dining Table Leg Black,274.5,
T5137,Acacia Live Edge Wood Table with Chrome X Legs/Natural Color - 150cm,43
,,,1,X2022,"Acacia Live Edge Table Top(150cm,Natural)",67,
,,,2,Y2002,X Dining Table Leg Chrome,43.5,
T5138,Acacia Natural Wood Live Edge Table with Black U-Shaped Legs/Natural Color - 300cm,18
,,,1,X2048,"Acacia Live Edge Table top(300cm,Natural)",18,
,,,2,Y2001,U Dining Table Leg Black,182.5,
T5139,Acacia Live Edge Wood Table with Chrome U Legs/Natural Color - 300cm,18
,,,1,X2048,"Acacia Live Edge Table top(300cm,Natural)",18,
,,,2,Y2019,U Dining Table Leg Chrome,33,
T5140,Acacia Live Edge Dining Table with Black X Shaped Legs/Natural Color - 300cm,18
,,,1,X2048,"Acacia Live Edge Table top(300cm,Natural)",18,
,,,2,Y2003,X Dining Table Leg Black,274.5,
T5141,Acacia Live Edge Wood Table with Chrome X Legs/Natural Color - 300cm,18
,,,1,X2048,"Acacia Live Edge Table top(300cm,Natural)",18,
,,,2,Y2002,X Dining Table Leg Chrome,43.5,
T5142,Live Edge Acacia Dining Table With Black U Legs/Honey Walnut - 150cm,48
,,,1,X2049,"Acacia Live Edge Table top(150cm,Honey)",48,
,,,2,Y2001,U Dining Table Leg Black,182.5,
T5143,"Acacia Live Edge Table(150cm,Honey,U Chrome)",33
,,,1,X2049,"Acacia Live Edge Table top(150cm,Honey)",48,
,,,2,Y2019,U Dining Table Leg Chrome,33,
T5144,"Acacia Live Edge Table(150cm,Honey,X Black)",48
,,,1,X2049,"Acacia Live Edge Table top(150cm,Honey)",48,
,,,2,Y2003,X Dining Table Leg Black,274.5,
T5145,"Acacia Live Edge Table(150cm,Honey,X Chrome)",43
,,,1,X2049,"Acacia Live Edge Table top(150cm,Honey)",48,
,,,2,Y2002,X Dining Table Leg Chrome,43.5,
T5146,Live Edge Acacia Dining Table With Black U Legs/Honey Walnut - 270cm,17
,,,1,X2050,"Acacia Live Edge Table top(270cm,Honey)",17,
,,,2,Y2001,U Dining Table Leg Black,182.5,
T5147,Live Edge Acacia Dining Table with Chrome U legs/Honey Walnut - 270cm,17
,,,1,X2050,"Acacia Live Edge Table top(270cm,Honey)",17,
,,,2,Y2019,U Dining Table Leg Chrome,33,
T5148,Live Edge Acacia Dining Table with Black X Legs/Honey Walnut - 270cm,17
,,,1,X2050,"Acacia Live Edge Table top(270cm,Honey)",17,
